rare_species_id,eol_content_id,eol_page_id,phylum,family,file_path,family_encoded,phylum_encoded,file_type,animal_prob,not_animal_prob,IsAnimal?
33a86e45-aa27-4abd-bcd4-e3284c70fbd6,28318029,45276459,cnidaria,agariciidae,cnidaria_agariciidae/28318029_45276459_eol-full-size-copy.jpg,4,2,.jpg,0.5494375824928284,0.45056241750717163,1
0a45c147-0007-4456-948c-45e7270462e6,29102501,46560555,chordata,rajidae,chordata_rajidae/29102501_46560555_eol-full-size-copy.jpg,155,1,.jpg,0.6250975728034973,0.3749024271965027,1
cace3842-1359-4790-bfd6-1098442f01d9,20865406,45509132,chordata,rallidae,chordata_rallidae/20865406_45509132_eol-full-size-copy.jpg,156,1,.jpg,0.6406881213188171,0.35931190848350525,1
1602d99b-8abd-432a-94d5-a0686b4d8c7c,28508517,323914,chordata,atelidae,chordata_atelidae/28508517_323914_eol-full-size-copy.jpg,16,1,.jpg,0.8502390384674072,0.14976099133491516,1
1d1ad4ad-96e6-4fa7-85ef-f16b01ea210c,20715728,45276801,cnidaria,merulinidae,cnidaria_merulinidae/20715728_45276801_eol-full-size-copy.jpg,116,2,.jpg,0.765994668006897,0.2340053766965866,1
1a91fd64-f4d6-4aea-b16c-702d8190ecc8,22705696,46580724,chordata,lutjanidae,chordata_lutjanidae/22705696_46580724_eol-full-size-copy.jpg,110,1,.jpg,0.5683479905128479,0.4316520690917969,1
b0aa345e-718d-4679-aec6-2b87eba33e8b,21375089,118008,chordata,leporidae,chordata_leporidae/21375089_118008_eol-full-size-copy.jpg,107,1,.jpg,0.5937100052833557,0.4062899649143219,1
53de2fe5-66a5-4262-8c74-ae78aa90dd28,29827733,46571863,chordata,labridae,chordata_labridae/29827733_46571863_eol-full-size-copy.jpg,101,1,.jpg,0.20770172774791718,0.7922981977462769,0
e4796a08-c432-4169-8b81-d2f27fb99f4b,30025420,333429,chordata,mantellidae,chordata_mantellidae/30025420_333429_eol-full-size-copy.jpg,112,1,.jpg,0.8263669610023499,0.17363302409648895,1
a1694baa-cef6-4734-a1db-563402f6f69f,29455155,1048403,chordata,bucerotidae,chordata_bucerotidae/29455155_1048403_eol-full-size-copy.jpg,25,1,.jpg,0.7845099568367004,0.21548999845981598,1
5efec8f9-fda4-47f2-9c0f-9b9acc8500fc,27902678,2865857,arthropoda,lucanidae,arthropoda_lucanidae/27902678_2865857_eol-full-size-copy.jpg,109,0,.jpg,0.7096561789512634,0.2903437912464142,1
da11ebc5-53d0-40a4-8e62-90715e5b3460,8973381,331381,chordata,plethodontidae,chordata_plethodontidae/8973381_331381_eol-full-size-copy.jpg,142,1,.jpg,0.8600746989250183,0.13992533087730408,1
6c76ef82-6cfc-4673-aac5-a0798ccbe16d,2752484,46561068,chordata,urolophidae,chordata_urolophidae/2752484_46561068_eol-full-size-copy.jpg,194,1,.jpg,0.6066359281539917,0.3933641016483307,1
db198d32-a996-4d7b-a797-aa0f9ed996c4,20908301,1057051,chordata,viperidae,chordata_viperidae/20908301_1057051_eol-full-size-copy.jpg,198,1,.jpg,0.5520685911178589,0.4479314684867859,1
4e8bdedc-4c84-4e5a-bfae-0b1cec45f9d1,30070967,1038777,chordata,bovidae,chordata_bovidae/30070967_1038777_eol-full-size-copy.jpg,23,1,.jpg,0.3372372090816498,0.6627628207206726,0
85f44907-351c-4080-8194-2d71990a9345,21917757,46559948,chordata,sphyrnidae,chordata_sphyrnidae/21917757_46559948_eol-full-size-copy.jpg,176,1,.jpg,0.519513726234436,0.48048630356788635,1
